id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,134,9,9,0,None,100.0,920.0001,1020.0001,910.0,920.0001
2,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,134,9,9,0,None,100.0,1020.0001,1120.0001,1000.0,1010.0001
1,COMP_M,VehicleProcessing,FogModule,EdgeToFog,9,3,0,5,SensorModule,10.0,1021.00010001,1031.00010001,1020.0001,1021.00010001
1,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,19,5,8,FogModule,0.1,1041.0001000105,1041.1001000105,1031.00010001,1041.0001000105
1,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,19,6,8,5,CloudModule,1.0,1051.100100011,1052.100100011,1041.1001000105,1051.100100011
1,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,14,5,0,FogModuleV,10.0,1053.100100012,1063.100100012,1052.100100011,1053.100100012
1,COMP_M,VehicleProcessing,S,EdgeToSensor,14,20,0,9,SensorModuleV,10.0,1073.100110012,1083.100110012,1063.100100012,1073.100110012
3,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,134,9,9,0,None,100.0,1120.0001,1220.0001,1090.0,1100.0001
2,COMP_M,VehicleProcessing,FogModule,EdgeToFog,9,3,0,5,SensorModule,10.0,1121.0001000099999,1131.0001000099999,1120.0001,1121.0001000099999
2,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,19,5,8,FogModule,0.1,1141.0001000104999,1141.1001000104998,1131.0001000099999,1141.0001000104999
2,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,19,7,8,6,CloudModule,1.0,1151.1001000109998,1152.1001000109998,1141.1001000104998,1151.1001000109998
2,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,7,16,6,2,FogModuleV,10.0,1153.1001000119998,1163.1001000119998,1152.1001000109998,1153.1001000119998
2,COMP_M,VehicleProcessing,S,EdgeToSensor,16,20,2,9,SensorModuleV,10.0,1195.1001100149997,1205.1001100149997,1163.1001000119998,1195.1001100149997
4,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,134,9,9,0,None,100.0,1220.0001,1320.0001,1180.0,1190.0001
3,COMP_M,VehicleProcessing,FogModule,EdgeToFog,9,3,0,5,SensorModule,10.0,1221.0001000099999,1231.0001000099999,1220.0001,1221.0001000099999
3,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,19,5,8,FogModule,0.1,1241.0001000104999,1241.1001000104998,1231.0001000099999,1241.0001000104999
3,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,19,8,8,7,CloudModule,1.0,1251.1001000109998,1252.1001000109998,1241.1001000104998,1251.1001000109998
3,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,8,18,7,4,FogModuleV,10.0,1253.1001000119998,1263.1001000119998,1252.1001000109998,1253.1001000119998
3,COMP_M,VehicleProcessing,S,EdgeToSensor,18,20,4,9,SensorModuleV,10.0,1295.1001100149997,1305.1001100149997,1263.1001000119998,1295.1001100149997
5,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,134,9,9,0,None,100.0,1320.0001,1420.0001,1270.0,1280.0001
