time_window,missing_messages
50,2201
51,2202
52,2202
53,2202
54,2202
55,2202
56,2202
57,2202
58,2202
59,2202
60,2202
61,2202
62,2202
63,2202
64,2202
65,2202
66,2202
67,2202
68,2202
69,2202
70,2202
71,2202
72,2202
73,2202
74,2202
75,2202
76,2202
77,2202
78,2202
79,2202
80,2202
81,2202
82,2202
83,2202
84,2202
85,2202
86,2202
87,2202
88,2202
89,2202
90,2202
91,2202
92,2202
93,2202
94,2202
95,2202
96,2202
97,2202
98,2202
99,2202
100,2201
101,2202
102,2202
103,2202
104,2202
105,2202
106,2202
107,2202
108,2202
109,2202
110,2202
111,2202
112,2202
113,2202
114,2202
115,2202
116,2202
117,2202
118,2202
119,2202
120,2202
121,2202
122,2202
123,2202
124,2202
125,2202
126,2202
127,2202
128,2202
129,2202
130,2202
131,2202
132,2202
133,2202
134,2202
135,2202
136,2202
137,2202
138,2202
139,2202
140,2202
141,2202
142,2202
143,2202
144,2202
145,2202
146,2202
147,2202
148,2202
149,2202
150,2201
151,2202
152,2202
153,2202
154,2202
155,2202
156,2202
157,2202
158,2202
159,2202
160,2202
161,2202
162,2202
163,2202
164,2202
165,2202
166,2202
167,2202
168,2202
169,2202
170,2201
171,2202
172,2202
173,2202
174,2202
175,2202
176,2202
177,2202
178,2202
179,2202
180,2202
181,2202
182,2202
183,2202
184,2202
185,2202
186,2202
187,2202
188,2202
189,2202
190,2202
191,2202
192,2202
193,2202
194,2202
195,2202
196,2202
197,2202
198,2202
199,2202
200,2200
201,2202
202,2202
203,2202
204,2202
205,2202
206,2202
207,2202
208,2202
209,2202
210,2202
211,2202
212,2202
213,2202
214,2202
215,2201
216,2202
217,2202
218,2202
219,2202
220,2202
221,2202
222,2202
223,2202
224,2202
225,2202
226,2202
227,2202
228,2202
229,2202
230,2202
231,2202
232,2202
233,2202
234,2202
235,2202
236,2202
237,2202
238,2202
239,2202
240,2202
241,2202
242,2202
243,2202
244,2202
245,2202
246,2202
247,2202
248,2202
249,2202
250,2201
251,2202
252,2202
253,2202
254,2202
255,2202
256,2202
257,2202
258,2202
259,2202
260,2202
261,2202
262,2202
263,2202
264,2202
265,2202
266,2202
267,2202
268,2202
269,2202
270,2201
271,2202
272,2202
273,2202
274,2202
275,2201
276,2202
277,2202
278,2202
279,2202
280,2202
281,2202
282,2202
283,2202
284,2202
285,2202
286,2202
287,2202
288,2202
289,2202
290,2202
291,2202
292,2202
293,2202
294,2202
295,2202
296,2202
297,2202
298,2202
299,2202
300,2200
301,2202
302,2202
303,2202
304,2202
305,2202
306,2202
307,2202
308,2202
309,2202
310,2202
311,2202
312,2202
313,2202
314,2202
315,2201
316,2202
317,2202
318,2202
319,2202
320,2202
321,2202
322,2202
323,2202
324,2202
325,2202
326,2202
327,2202
328,2202
329,2202
330,2202
331,2202
332,2202
333,2202
334,2202
335,2202
336,2202
337,2202
338,2202
339,2202
340,2202
341,2202
342,2202
343,2202
344,2202
345,2202
346,2202
347,2202
348,2202
349,2202
350,2201
351,2202
352,2202
353,2202
354,2202
355,2202
356,2202
357,2202
358,2202
359,2202
360,2202
361,2202
362,2202
363,2202
364,2202
365,2202
366,2202
367,2202
368,2202
369,2202
370,2201
371,2202
372,2202
373,2202
374,2202
375,2201
376,2201
377,2202
378,2202
379,2202
380,2202
381,2202
382,2202
383,2202
384,2202
385,2202
386,2202
387,2202
388,2202
389,2202
390,2202
391,2202
392,2202
393,2202
394,2202
395,2202
396,2202
397,2202
398,2202
399,2202
400,2200
401,2202
402,2202
403,2202
404,2202
405,2202
406,2202
407,2202
408,2202
409,2202
410,2202
411,2202
412,2202
413,2202
414,2202
415,2201
416,2202
417,2202
418,2202
419,2202
420,2202
421,2202
422,2202
423,2202
424,2202
425,2202
426,2202
427,2202
428,2202
429,2202
430,2202
431,2202
432,2202
433,2202
434,2202
435,2202
436,2202
437,2202
438,2202
439,2202
440,2202
441,2202
442,2202
443,2202
444,2202
445,2202
446,2202
447,2202
448,2202
449,2202
450,2201
451,2202
452,2202
453,2202
454,2202
455,2202
456,2202
457,2202
458,2202
459,2202
460,2202
461,2202
462,2202
463,2202
464,2202
465,2202
466,2202
467,2202
468,2202
469,2202
470,2201
471,2202
472,2202
473,2202
474,2202
475,2201
476,2201
477,2202
478,2202
479,2202
480,2202
481,2202
482,2202
483,2202
484,2202
485,2202
486,2202
487,2202
488,2202
489,2202
490,2202
491,2202
492,2202
493,2202
494,2202
495,2202
496,2202
497,2202
498,2202
499,2202
500,2200
