id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
67,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4220.0001,4320.0001,4210.0,4220.0001
68,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4320.0001,4420.0001,4260.0,4270.0001
67,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,4321.00010001,4331.00010001,4320.0001,4321.00010001
67,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,4341.0001000110005,4346.0001000110005,4331.00010001,4341.0001000110005
67,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,5,8,5,CloudModule,50.0,4356.000100012001,4406.000100012001,4346.0001000110005,4356.000100012001
67,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,5,13,5,0,FogModuleV,100.0,4407.000100022001,4507.000100022001,4406.000100012001,4407.000100022001
69,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4420.0001,4520.0001,4310.0,4320.0001
68,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,4421.00010001,4431.00010001,4420.0001,4421.00010001
68,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,4441.0001000110005,4446.0001000110005,4431.00010001,4441.0001000110005
68,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,6,8,6,CloudModule,50.0,4456.000100012001,4506.000100012001,4446.0001000110005,4456.000100012001
68,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,15,6,2,FogModuleV,100.0,4507.000100022001,4607.000100022001,4506.000100012001,4507.000100022001
67,COMP_M,VehicleProcessing,S,EdgeToSensor,13,19,0,9,SensorModuleV,100.0,4517.000200022001,4617.000200022001,4507.000100022001,4517.000200022001
70,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4520.0001,4620.0001,4360.0,4370.0001
69,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,4521.00010001,4531.00010001,4520.0001,4521.00010001
69,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,4541.0001000110005,4546.0001000110005,4531.00010001,4541.0001000110005
69,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,7,8,7,CloudModule,50.0,4556.000100012001,4606.000100012001,4546.0001000110005,4556.000100012001
69,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,7,17,7,4,FogModuleV,100.0,4607.000100022001,4707.000100022001,4606.000100012001,4607.000100022001
71,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4620.0001,4720.0001,4410.0,4420.0001
70,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,4621.00010001,4631.00010001,4620.0001,4621.00010001
68,COMP_M,VehicleProcessing,S,EdgeToSensor,15,19,2,9,SensorModuleV,100.0,4639.000200052002,4739.000200052002,4607.000100022001,4639.000200052002
70,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,4641.0001000110005,4646.0001000110005,4631.00010001,4641.0001000110005
70,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,5,8,5,CloudModule,50.0,4656.000100012001,4706.000100012001,4646.0001000110005,4656.000100012001
70,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,5,14,5,1,FogModuleV,100.0,4707.000100022001,4807.000100022001,4706.000100012001,4707.000100022001
72,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4720.0001,4820.0001,4460.0,4470.0001
71,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,4721.00010001,4731.00010001,4720.0001,4721.00010001
69,COMP_M,VehicleProcessing,S,EdgeToSensor,17,19,4,9,SensorModuleV,100.0,4739.000200052002,4839.000200052002,4707.000100022001,4739.000200052002
71,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,4741.0001000110005,4746.0001000110005,4731.00010001,4741.0001000110005
71,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,5,8,5,CloudModule,50.0,4756.000100012001,4806.000100012001,4746.0001000110005,4756.000100012001
71,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,5,13,5,0,FogModuleV,100.0,4807.000100022001,4907.000100022001,4806.000100012001,4807.000100022001
73,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4820.0001,4920.0001,4510.0,4520.0001
72,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,4821.00010001,4831.00010001,4820.0001,4821.00010001
70,COMP_M,VehicleProcessing,S,EdgeToSensor,14,19,1,9,SensorModuleV,100.0,4839.000200052002,4939.000200052002,4807.000100022001,4819.000200042001
72,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,4841.0001000110005,4846.0001000110005,4831.00010001,4841.0001000110005
72,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,5,8,5,CloudModule,50.0,4856.000100012001,4906.000100012001,4846.0001000110005,4856.000100012001
72,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,5,13,5,0,FogModuleV,100.0,4907.000100022001,5007.000100022001,4906.000100012001,4907.000100022001
74,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,4920.0001,5020.0001,4560.0,4570.0001
73,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,4921.00010001,4931.00010001,4920.0001,4921.00010001
71,COMP_M,VehicleProcessing,S,EdgeToSensor,13,19,0,9,SensorModuleV,100.0,4939.000200052002,5039.000200052002,4907.000100022001,4917.000200022001
73,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,4941.0001000110005,4946.0001000110005,4931.00010001,4941.0001000110005
73,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,5,8,5,CloudModule,50.0,4956.000100012001,5006.000100012001,4946.0001000110005,4956.000100012001
73,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,5,13,5,0,FogModuleV,100.0,5007.000100022001,5107.000100022001,5006.000100012001,5007.000100022001
75,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,5020.0001,5120.0001,4610.0,4620.0001
74,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,5021.00010001,5031.00010001,5020.0001,5021.00010001
72,COMP_M,VehicleProcessing,S,EdgeToSensor,13,19,0,9,SensorModuleV,100.0,5039.000200052002,5139.000200052002,5007.000100022001,5017.000200022001
74,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,5.0,5041.0001000110005,5046.0001000110005,5031.00010001,5041.0001000110005
74,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,5,8,5,CloudModule,50.0,5056.000100012001,5106.000100012001,5046.0001000110005,5056.000100012001
74,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,5,13,5,0,FogModuleV,100.0,5107.000100022001,5207.000100022001,5106.000100012001,5107.000100022001
76,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,5120.0001,5220.0001,4660.0,4670.0001
