id,type,src,dst,app,latency,message,ctime,size,buffer
67,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4210,1000,0
68,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4260,1000,0
69,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4310,1000,0
67,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,4320.0001,1000,0
67,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,4331.00010001,200,0
67,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,4346.0001000110005,200,0
70,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4360,1000,0
67,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,4406.000100012001,1000,0
71,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4410,1000,0
68,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,4420.0001,1000,0
68,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,4431.00010001,200,0
68,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,4446.0001000110005,200,0
72,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4460,1000,0
68,LINK,6,2,VehicleProcessing,1.00000001,FogToEdge,4506.000100012001,1000,0
67,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,4507.000100022001,1000,0
73,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4510,1000,1
69,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,4520.0001,1000,0
69,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,4531.00010001,200,0
69,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,4546.0001000110005,200,0
74,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4560,1000,0
69,LINK,7,4,VehicleProcessing,1.00000001,FogToEdge,4606.000100012001,1000,0
68,LINK,2,6,VehicleProcessing,1.00000001,EdgeToSensor,4607.000100022001,1000,0
68,LINK,6,8,VehicleProcessing,10.000000005,EdgeToSensor,4608.000100032001,1000,0
75,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4610,1000,1
68,LINK,8,5,VehicleProcessing,10.000000005,EdgeToSensor,4618.000100037001,1000,1
70,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,4620.0001,1000,1
68,LINK,5,0,VehicleProcessing,1.00000001,EdgeToSensor,4628.000100042002,1000,0
68,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,4629.0001000520015,1000,0
70,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,4631.00010001,200,1
70,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,4646.0001000110005,200,0
76,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4660,1000,0
70,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,4706.000100012001,1000,0
69,LINK,4,7,VehicleProcessing,1.00000001,EdgeToSensor,4707.000100022001,1000,0
69,LINK,7,8,VehicleProcessing,10.000000005,EdgeToSensor,4708.000100032001,1000,0
77,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4710,1000,1
69,LINK,8,5,VehicleProcessing,10.000000005,EdgeToSensor,4718.000100037001,1000,1
71,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,4720.0001,1000,1
69,LINK,5,0,VehicleProcessing,1.00000001,EdgeToSensor,4728.000100042002,1000,0
69,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,4729.0001000520015,1000,0
71,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,4731.00010001,200,1
71,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,4746.0001000110005,200,0
78,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,4760,1000,0
71,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,4806.000100012001,1000,0
